keys,en,fr,es
TEXT_TELEMETRY,"We would like to send anonymous data about game usage to our server","Nous souhaiterions collecter des données anonymes\nsur votre usage du jeu sur notre serveur","Nos gustaría recopilar datos anónimos\nsobre su uso del juego en nuestro servidor"
TEXT_ACCEPT,"Accept","Accepter","Aceptar"
TEXT_DENY,"Reject","Refuser","Rechazar"
MENU_CONTINUE,"Continue","Reprendre","Continuar"
MENU_SELECTION,"Level Selection","Choix du niveau","Selección del nivel"
MENU_DEMO,"10 Levels Demo","Démo (10 niveaux)","Demo (10 niveles)"
MENU_EXIT,"Exit","Quitter","Salir"
MENU_OPTIONS,"Settings","Options","Configuración"
TEXT_LOADING,"Loading","Chargement","Carga"
TEXT_RECORD,"Current Record","Record","Récord"
TEXT_START,"Play","Lancer","Jugar"
TEXT_BACK_MENU,"Back To Menu","Retour au menu","Volver al menú"
TEXT_NO_HEADSET,"No VR Headset","Casque VR non détecté","Se necesita un casco VR"
TEXT_NO_HEADSET_LONG,"A VR Headset is required to play.\nConnect one and restart","Un casque VR est requis.\nMerci d'en connecter un et redémarrer","Conecte uno y reinicie"
TEXT_FIRST_START,"Start","Démarrer","Empezar"
TEXT_WAITING_OTHER,"Waiting for other player","En attente de l'autre joueur","Esperando a otro jugador"
TEXT_CLICK_MOVE,"Click to move","Cliquer pour déplacer","Clic para mover"
TEXT_JOYSTICK,"Joystick\nto move","Joystick\npour se déplacer","Joystick\npara moverse"
TEXT_TRIGGER,"Trigger\nto jump","Gâchette\npour sauter","Disparador\npara saltar"
TEXT_OTHER_MENU,"Other player on menu","Attente de l'autre joueur","Otro jugador en el menú"
TEXT_COMPLETED,"You completed","Vous venez de terminer","Has completado"
TEXT_START_NEXT,"Start Next Run","Poursuivre","Siguiente"
TEXT_DEMO_CONGRATS,"Congratulations","Félicitations","Felicidades"
TEXT_RETRY,"Retry","Recommencer","Recomenzar"
TEXT_BACK,"Back","Retour","Atrás"
TEXT_LANGUAGE,"Language","Langue","Idioma"
TEXT_LANGUAGE_NAME,"English","Français","Español"
